estacion,estado,latitud,longitud,msnm,TEMPERATURA_CELSIUS,VELOCIDAD_MEDIA_DIARIA_VIENTO_MILLAS_POR_HORA,DIRECCION_VIENTO_MAS_RAPIDA_5_SEC_GRADOS,VELOCIDAD_VIENTO_MAS_RAPIDA_5_SEC_MILLAS_POR_HORA,PRECIPITACION_mm,mes,dia,rango_estacion
9,,30.3975,-84.3289,19.2,25.4,-0.8318578939000388,280.0,25.95,0.25,1.6993122684968072,6,-0.13143960268877047
8,,28.4339,-81.325,27.4,18.400000000000002,0.3914751291044457,270.0,18.12,0.0,-1.5390612457067223,27,-0.13143960268877047
8,,28.4339,-81.325,27.4,11.400000000000002,-1.3217384556848326,270.0,14.99,0.0,-1.5390612457067223,31,-0.13143960268877047
8,,28.4339,-81.325,27.4,24.200000000000003,1.371236252674033,270.0,29.08,0.0,-1.1342645564312812,9,-0.13143960268877047
8,,28.4339,-81.325,27.4,18.7,0.5748382444093685,270.0,25.95,0.0,-1.1342645564312812,16,-0.13143960268877047
8,,28.4339,-81.325,27.4,18.899999999999995,-0.8948034409450125,270.0,17.0,0.0,-0.72946786715584,21,-0.13143960268877047
8,,28.4339,-81.325,27.4,19.699999999999996,1.6777536991539037,270.0,36.01,0.0,0.08012551139504238,6,-0.13143960268877047
8,,28.4339,-81.325,27.4,24.899999999999995,-0.6484947785951162,270.0,36.91,0.37,0.8897188899459247,22,-0.13143960268877047
8,,28.4339,-81.325,27.4,28.600000000000005,-0.5253404474201679,270.0,23.94,0.0,1.2945155792213658,15,-0.13143960268877047
8,,28.4339,-81.325,27.4,26.100000000000005,0.024748898494600245,270.0,35.12,0.0,1.2945155792213658,29,-0.13143960268877047
3,,29.6919,-82.2756,37.5,15.5,-0.8948034409450125,270.0,17.0,0.0,-1.5390612457067223,5,1.4332456293189315
3,,29.6919,-82.2756,37.5,13.499999999999998,-1.811619017469626,270.0,14.09,0.0,-1.1342645564312812,2,1.4332456293189315
3,,29.6919,-82.2756,37.5,20.700000000000003,-0.03545988563537432,270.0,19.91,0.0,-1.1342645564312812,13,1.4332456293189315
3,,29.6919,-82.2756,37.5,11.400000000000002,-1.3217384556848326,270.0,14.09,0.0,-1.1342645564312812,17,1.4332456293189315
3,,29.6919,-82.2756,37.5,21.3,-1.1985841245098843,270.0,14.99,0.0,-0.72946786715584,29,1.4332456293189315
